id,0,1,2,3,4,5
5790,0.0,0.0,0.5111198425292969,0.4888801574707031,0.0,0.0
5931,0.365081787109375,0.0,0.0,0.634918212890625,0.0,0.0
5932,1.1444091796875e-05,0.0,0.03868865966796875,0.9612998962402344,0.0,0.0
5944,0.024272918701171875,0.003864288330078125,0.6662559509277344,0.3056068420410156,0.0,0.0
5945,0.22485733032226562,0.0,0.118408203125,0.6567344665527344,0.0,0.0
5946,0.023540496826171875,0.0,0.000186920166015625,0.9762725830078125,0.0,0.0
6085,0.012630462646484375,0.0,0.01641845703125,0.9709510803222656,0.0,0.0
6086,0.0,0.0,0.13843154907226562,0.8615684509277344,0.0,0.0
6087,0.07453155517578125,0.0,0.009246826171875,0.9162216186523438,0.0,0.0
6088,0.0,0.0,0.047672271728515625,0.9523277282714844,0.0,0.0
6091,0.0,0.0,0.00991058349609375,0.9900894165039062,0.0,0.0
6092,0.0,0.0,0.804656982421875,0.17177200317382812,0.023571014404296875,0.0
6093,0.0,0.0,0.9615669250488281,0.038433074951171875,0.0,0.0
6099,0.02234649658203125,0.0,0.9625091552734375,0.01514434814453125,0.0,0.0
6100,0.0,0.0,0.991119384765625,0.008880615234375,0.0,0.0
6101,0.0,0.0,0.9809188842773438,0.01908111572265625,0.0,0.0
6102,0.0682220458984375,0.0,0.8927497863769531,0.039028167724609375,0.0,0.0
6240,0.0,0.0,0.5768966674804688,0.42310333251953125,0.0,0.0
6241,0.0,0.0,0.0,1.0,0.0,0.0
6242,0.0,0.0,0.8811721801757812,0.11882781982421875,0.0,0.0
6243,0.0,0.0,0.8742408752441406,0.079803466796875,0.045955657958984375,0.0
6246,0.044223785400390625,0.008106231689453125,0.26019287109375,0.6874160766601562,6.103515625e-05,0.0
6247,0.0,0.0,0.9622383117675781,0.037761688232421875,0.0,0.0
6248,0.12591171264648438,0.0,0.7699928283691406,0.104095458984375,0.0,0.0
6249,0.5188369750976562,0.0,0.0,0.48116302490234375,0.0,0.0
6250,0.5417671203613281,0.0,0.0,0.4582328796386719,0.0,0.0
6251,0.269927978515625,0.0,0.0,0.730072021484375,0.0,0.0
6253,0.0,0.0,0.6098976135253906,0.3901023864746094,0.0,0.0
6254,0.14470291137695312,0.0,0.6531944274902344,0.2021026611328125,0.0,0.0
6255,0.0,0.0,1.0,0.0,0.0,0.0
6256,0.0,0.0,1.0,0.0,0.0,0.0
6257,0.005603790283203125,0.0,0.9568557739257812,0.037540435791015625,0.0,0.0
6258,0.0,0.0,0.8997421264648438,0.10025787353515625,0.0,0.0
6395,0.10947418212890625,0.0,0.06361770629882812,0.8269081115722656,0.0,0.0
6396,0.00023651123046875,0.0,0.24461746215820312,0.7551460266113281,0.0,0.0
6397,0.1035308837890625,0.0,0.5848426818847656,0.3116264343261719,0.0,0.0
6398,0.49738311767578125,0.0,0.002895355224609375,0.4997215270996094,0.0,0.0
6399,0.18590545654296875,0.0,1.1444091796875e-05,0.8140830993652344,0.0,0.0
6400,0.0778656005859375,0.0,3.814697265625e-06,0.9221305847167969,0.0,0.0
6401,0.7354812622070312,0.0,0.06463241577148438,0.19988632202148438,0.0,0.0
6402,0.5289268493652344,0.0,0.0,0.4710731506347656,0.0,0.0
6403,0.10872268676757812,0.0,0.006374359130859375,0.8849029541015625,0.0,0.0
6404,0.7898063659667969,0.0,0.0,0.21019363403320312,0.0,0.0
6405,0.7021369934082031,0.0,0.0,0.2978630065917969,0.0,0.0
6406,0.050907135009765625,0.0,0.6117019653320312,0.3373908996582031,0.0,0.0
6407,0.10194015502929688,0.0,0.7382049560546875,0.15985488891601562,0.0,0.0
6408,0.0,0.0,0.9873504638671875,0.0126495361328125,0.0,0.0
6409,0.1171875,0.0,0.8094902038574219,0.07332229614257812,0.0,0.0
6410,0.0,0.0,0.98779296875,0.01220703125,0.0,0.0
6411,0.0,0.0,0.9989700317382812,0.00102996826171875,0.0,0.0
6412,0.0,0.0,0.9744873046875,0.0255126953125,0.0,0.0
6413,0.00095367431640625,0.0,0.9625434875488281,0.036502838134765625,0.0,0.0
