RASTERVALU,count,0_std,1_std,2_std,3_std,4_std,5_std
1,1,,,,,,
2,1,,,,,,
3,12,0.25153849574035947,0.008241442517500228,0.30044194204762575,0.3589403323149193,0.14652987271310633,0.0005583125810225086
4,5,0.10684398666648916,0.0,0.3346957212263954,0.3140451115649226,0.0,0.0
5,2,0.004415641024789328,0.0,0.07925225959030885,0.07483661856551961,0.0,0.0
7,18,0.30968689117834797,0.004137808999405521,0.32967537229193045,0.2459271185344489,0.011364139057689359,0.0
8,9,0.18162357537872864,0.028477986653645832,0.1600458723640716,0.14568666342152817,0.0,0.0
9,6,0.26800150367233677,0.02295807323523293,0.2134910917729276,0.06061277895387425,0.0,0.0
