RASTERVALU,count,0_std,1_std,2_std,3_std,4_std,5_std
1,157,0.26353823402549287,0.004014049316331935,0.2866732983604615,0.09686178544574588,0.005582806154019208,0.0
2,537,0.197889604807763,0.005663930913840074,0.3237894199615742,0.21880055660361863,0.03574798235541887,0.00039030533641699905
3,1292,0.23666181968878494,0.10097969070982274,0.3352468168785492,0.3291859564436684,0.047125010256249315,0.0008532878844432842
4,777,0.25152725745444743,0.031385746073259016,0.3206700382994341,0.3605317248900242,0.22080118366970947,0.003479015737723415
5,135,0.3226313219423841,0.009088625110687566,0.3697189002882913,0.32446332133107825,0.010562334777302227,0.0
7,4005,0.32132193316681984,0.08407303069028298,0.3385134616955384,0.2788437297757753,0.07562525456272713,0.0004665037623998396
8,952,0.24313773548960527,0.04470258026760051,0.16275690498231812,0.2137364356814352,0.04374635087252915,4.124352186504205e-05
9,362,0.2548364365015099,0.018751516211539088,0.20475359655665681,0.18813172364597397,0.04578311976995713,0.0
10,2,0.0,0.0,0.0,0.0,0.0,0.0
