RASTERVALU,id,0,1,2,3,4,5
1,0,0.4881782531738281,0.0,0.4656715393066406,0.0461502075195312,0.0,0.0
2,3,0.0,0.0,1.0,0.0,0.0,0.0
3,4,0.0002021789550781,0.0,0.6094245910644531,0.3903732299804687,0.0,0.0
3,5,0.6869544982910156,0.0,0.0692558288574218,0.2437896728515625,0.0,0.0
3,6,0.0,0.0,0.231903076171875,0.768096923828125,0.0,0.0
3,7,0.0,0.0,0.1051826477050781,0.8948173522949219,0.0,0.0
3,9,0.0018272399902343,0.0,0.4044342041015625,0.0842094421386718,0.5075950622558594,0.0019340515136718
3,11,0.6700248718261719,0.0,0.3299751281738281,0.0,0.0,0.0
3,12,0.2774772644042969,0.0,0.0,0.7225227355957031,0.0,0.0
3,14,0.1229591369628906,0.0,0.0,0.8770408630371094,0.0,0.0
3,15,0.032867431640625,0.0285491943359375,0.754486083984375,0.1840972900390625,0.0,0.0
3,16,0.1461601257324218,0.0,0.8538322448730469,0.0,7.62939453125e-06,0.0
3,17,0.002655029296875,0.0,0.3899116516113281,0.6074333190917969,0.0,0.0
3,18,0.1180763244628906,0.0,0.0,0.8819236755371094,0.0,0.0
4,19,0.0092849731445312,0.0,0.0,0.9907150268554688,0.0,0.0
4,20,0.0,0.0,0.7645187377929688,0.2354812622070312,0.0,0.0
4,21,0.0026588439941406,0.0,0.0009727478027343,0.996368408203125,0.0,0.0
4,22,0.2505073547363281,0.0,0.0,0.7494926452636719,0.0,0.0
4,23,0.0589523315429687,0.0,0.079071044921875,0.8619766235351562,0.0,0.0
5,28,0.0062446594238281,0.0,0.8446006774902344,0.1491546630859375,0.0,0.0
5,29,0.0,0.0,0.9566802978515624,0.0433197021484375,0.0,0.0
7,34,0.0,0.0,1.0,0.0,0.0,0.0
7,36,0.9191665649414062,0.0,0.0,0.0326194763183593,0.0482139587402343,0.0
7,41,0.969146728515625,0.0,0.0130424499511718,0.0178108215332031,0.0,0.0
7,42,0.1440887451171875,0.0,0.4605979919433594,0.3953132629394531,0.0,0.0
7,43,0.8758010864257812,0.0,0.0695571899414062,0.0546417236328125,0.0,0.0
7,46,0.6976242065429688,0.0,0.2991790771484375,0.0031967163085937,0.0,0.0
7,47,0.5700035095214844,0.0,0.2927932739257812,0.1372032165527343,0.0,0.0
7,49,0.2607994079589844,0.0,0.7392005920410156,0.0,0.0,0.0
7,50,0.622894287109375,0.0,0.377105712890625,0.0,0.0,0.0
7,51,0.6119728088378906,0.0,0.3859291076660156,0.0020980834960937,0.0,0.0
7,53,0.3839035034179687,0.0,0.0,0.6160964965820312,0.0,0.0
7,54,0.3027992248535156,0.0,0.1253585815429687,0.5718421936035156,0.0,0.0
7,55,0.99749755859375,0.0,0.0,0.00250244140625,0.0,0.0
7,59,0.0307426452636718,0.0,0.9515724182128906,0.0176849365234375,0.0,0.0
7,60,0.5787849426269531,0.0,0.0,0.4212150573730469,0.0,0.0
7,61,0.3052330017089844,0.0175552368164062,0.1571044921875,0.5201072692871094,0.0,0.0
7,62,0.645538330078125,0.0,0.0186882019042968,0.3357734680175781,0.0,0.0
7,64,0.40863037109375,0.0,3.4332275390625e-05,0.5913352966308594,0.0,0.0
8,65,0.7611923217773438,0.0,0.0,0.2388076782226562,0.0,0.0
8,66,0.9877281188964844,0.0,0.0,0.0122718811035156,0.0,0.0
8,67,0.7620620727539062,0.0,0.0019302368164062,0.2360076904296875,0.0,0.0
8,68,0.8993682861328125,0.0,0.0,0.1006317138671875,0.0,0.0
8,71,0.7315750122070312,0.0,0.2684249877929687,0.0,0.0,0.0
8,72,0.5229606628417969,0.0854339599609375,0.0,0.3916053771972656,0.0,0.0
8,75,1.0,0.0,0.0,0.0,0.0,0.0
8,76,0.5665206909179688,0.0,0.4334793090820312,0.0,0.0,0.0
8,78,1.0,0.0,0.0,0.0,0.0,0.0
9,81,1.0,0.0,0.0,0.0,0.0,0.0
9,84,0.9933204650878906,0.0,0.0066795349121093,0.0,0.0,0.0
9,85,0.8316192626953125,0.0450210571289062,0.1232643127441406,9.5367431640625e-05,0.0,0.0
9,86,0.9559669494628906,0.04388427734375,0.0,0.0001487731933593,0.0,0.0
9,88,0.3021659851074219,0.0,0.5493125915527344,0.1485214233398437,0.0,0.0
9,89,0.9259796142578124,0.0,0.0740089416503906,1.1444091796875e-05,0.0,0.0
