RASTERVALU,count,0_mean,1_mean,2_mean,3_mean,4_mean,5_mean
1,1,0.4881782531738281,0.0,0.4656715393066406,0.0461502075195312,0.0,0.0
2,1,0.0,0.0,1.0,0.0,0.0,0.0
3,12,0.17160034179687497,0.0023790995279947915,0.31236712137858075,0.4711920420328776,0.04230022430419922,0.00016117095947265
4,5,0.06428070068359373,0.0,0.1689125061035156,0.7668067932128906,0.0,0.0
5,2,0.00312232971191405,0.0,0.9006404876708984,0.0962371826171875,0.0,0.0
7,18,0.5180348290337456,0.0009752909342447889,0.2716757456461589,0.20663558112250432,0.00267855326334635,0.0
8,9,0.8034896850585938,0.009492662217881944,0.0782038370768229,0.10881381564670138,0.0,0.0
9,6,0.8348420461018881,0.014817555745442699,0.12554423014322916,0.02479616800944008,0.0,0.0
