RASTERVALU,id,0,1,2,3,4,5
1,23177,0.1909370422363281,0.0,0.8090629577636719,0.0,0.0,0.0
1,23178,0.01190185546875,0.0,0.9492301940917968,0.0388679504394531,0.0,0.0
1,23333,0.0,0.0,1.0,0.0,0.0,0.0
1,23485,0.0,0.0,1.0,0.0,0.0,0.0
1,23488,0.0,0.0,1.0,0.0,0.0,0.0
1,23489,0.1283493041992187,0.0,0.8716506958007812,0.0,0.0,0.0
1,23490,0.4994277954101562,0.0,0.5005722045898438,0.0,0.0,0.0
1,23504,0.1085968017578125,0.0,0.8914031982421875,0.0,0.0,0.0
1,23505,0.4262199401855469,0.0,0.5553665161132812,0.0184135437011718,0.0,0.0
1,23640,0.0231971740722656,0.0,0.9766998291015624,0.0001029968261718,0.0,0.0
1,23641,0.0,0.0,1.0,0.0,0.0,0.0
1,23644,0.072662353515625,0.0,0.927337646484375,0.0,0.0,0.0
1,23645,0.3879890441894531,0.0,0.6120109558105469,0.0,0.0,0.0
1,23646,0.3082542419433594,0.0,0.6917457580566406,0.0,0.0,0.0
1,23648,0.1197929382324218,0.0,0.8802070617675781,0.0,0.0,0.0
1,23651,0.5694618225097656,0.0,0.4305381774902344,0.0,0.0,0.0
1,23658,0.0169944763183593,0.0,0.9830055236816406,0.0,0.0,0.0
1,23659,0.0227203369140625,0.0,0.9772796630859376,0.0,0.0,0.0
1,23794,0.1481895446777343,0.0,0.8518104553222656,0.0,0.0,0.0
1,23795,0.1396751403808593,0.0,0.8603248596191406,0.0,0.0,0.0
1,23796,0.0,0.0,1.0,0.0,0.0,0.0
1,23800,0.3741874694824219,0.0,0.6258125305175781,0.0,0.0,0.0
1,23801,0.3290138244628906,0.0,0.6706390380859375,0.0003471374511718,0.0,0.0
1,23802,0.1409263610839843,0.0,0.8590736389160156,0.0,0.0,0.0
1,23803,0.3602142333984375,0.0,0.6397857666015625,0.0,0.0,0.0
1,23806,0.1904411315917968,0.0,0.8095588684082031,0.0,0.0,0.0
1,23813,0.1651649475097656,0.0,0.8348350524902344,0.0,0.0,0.0
1,23949,0.01556396484375,0.0,0.98443603515625,0.0,0.0,0.0
1,23950,0.0,0.0,1.0,0.0,0.0,0.0
1,23951,0.017059326171875,0.0,0.9810066223144532,0.0019340515136718,0.0,0.0
1,23952,0.2499618530273437,0.0,0.6444511413574219,0.1055870056152343,0.0,0.0
1,23956,0.0912399291992187,0.0,0.6849136352539062,0.223846435546875,0.0,0.0
1,24105,0.0,0.0,1.0,0.0,0.0,0.0
1,24106,0.2856025695800781,0.0,0.7143974304199219,0.0,0.0,0.0
1,24107,0.35052490234375,0.0,0.64947509765625,0.0,0.0,0.0
1,24108,0.1486968994140625,0.0,0.8149299621582031,0.0363731384277343,0.0,0.0
1,24260,0.0,0.0,1.0,0.0,0.0,0.0
